Cabang,Kategori Barang,Kode Barang,Nama Barang,Jenis Barang,Def. Hrg. Jual Satuan #1,Kts (Semua Gdng),Nilai Satuan,Nilai Total,KATEGORI PEMBAYARAN;
Klender,HANDPHONE,107343,BATER XIO REDMI 13X BN5T,Persediaan,150000.0,0,0.0,0.0,CASH;
"Klender,LAPTOP,107060,""ASUS VIVOBOOK 14 C5 A1404VAP-VIPS5851M (Core 5-120U/8GB/512GB SSD PCIe NVMe M.2/UMA/14"""" VIPS FHD/Win11+OHS2024+M365/Quiete Blue/Backlit KB/FingerPrint)"",Persediaan,8300000.0,0,0.0,0.0,TEMPO";
Klender,SPAREPART,108362,BATER LPT LENOVO L19D4PF4,Persediaan,450000.0,1,400000.0,400000.0,CASH;
Klender,SPAREPART,108363,ICLPT RT8231,Persediaan,70000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106671,KCKMR SAM J4 PLUS,Persediaan,14000.0,1,7000.0,7000.0,;
Klender,SPAREPART,100964,FOOMEE CC27S CHARGER MICRO 1.5A WHITE,Persediaan,47138.0,0,0.0,2e-05,CASH;
Klender,SPAREPART,108364,BCKDR SAM S10 ORI,Persediaan,150000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,107297,LCD.. VIVV29 5G OLED,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108462,FLFNG VIVO Y21 2021/ Y21S,Persediaan,0.0,2,20000.0,40000.0,CASH;
Klender,SPAREPART,108791,PERNIK RLM C11 C12 C15 C25,Persediaan,0.0,2,10000.0,20000.0,;
Klender,SPAREPART,106472,BATER SAMSUNG A34 5G,Persediaan,175000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108796,SMTRY VIV Y91 /Y93 /Y95,Persediaan,0.0,2,20000.0,40000.0,;
Klender,SPAREPART,106473,PERNIK SAM TAB S7 FE,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106499,BCKDR XIO REDMI NOTE 12,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106500,KYBRD LTP ACER V5-431,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108463,FLEXI LCD SAM TAB S6 LITE,Persediaan,70000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106519,FLEX. SENSOR PROXIMITYIPH 13 PRO,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,107459,KYBRD LPT ACER ES1-132,Persediaan,130000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108727,BATER VIV V23E (B-R5),Persediaan,155000.0,1,133000.0,133000.0,CASH;
Klender,SPAREPART,108359,SSD.. NVME HYPER 256GB V-GEN NEW,Persediaan,975000.0,1,893333.333334,893333.333334,CASH;
Klender,PARFUM,PFUM-004,UMAIR LESTARI 100ML,Persediaan,500000.0,2,400000.0,800000.0,KONSI;
Klender,SPAREPART,101031,ADAPTOR APL MACBOOK MAGSAFE 1 65W,Persediaan,270000.0,1,300000.0,300000.0,CASH;
Klender,SPAREPART,108664,LCD.. SONY ZXS,Persediaan,300000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100783,FLVLM OPP A51W,Persediaan,14000.0,0,0.0,0.0,;
Klender,SPAREPART,108464,BATER SAM TAB S6 LITE,Persediaan,300000.0,1,268000.0,268000.0,CASH;
Klender,SPAREPART,108563,BEZEL OPP A96 4G,Persediaan,50000.0,1,36500.0,36500.0,CASH;
Klender,SPAREPART,106679,SLTSM SAM M21,Persediaan,23332.0,2,11666.666666,23333.333332,;
Klender,AKSESORIS,108240,ROBOT KABEL DATA C TO C 65W RNCC100 GRAY,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,LAPTOP,104801,LENOVO THINKPAD X280 I5 GEN8 8/256GB TOUCHSCREEN,Persediaan,4350000.0,0,0.0,0.0,CASH;
Klender,LAPTOP,106538,FAN LPT DELL G15 5510 GPU,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108198,LCD.. SAM S21 FE INCELL,Persediaan,500000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,100133,LCD.. LAPTOP 40 PIN KUPING,Persediaan,585000.0,0,0.0,0.0,;
Klender,SPAREPART,106535,KYBRD LPT ASUS K413,Persediaan,200000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106540,KYBRD LPT DYNABOOK PORTAGE A30-E BACKLIGHT,Persediaan,445000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106548,BATER LPT ASUS ZENBOOK UX333 UX333F UX333FN UX333FA UX334FL C31N1815,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106553,IWATCH SERIES 2 38MM,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106596,MOTHERBOARD ADVAN SOULMATE 1405 CELERON,Persediaan,570000.0,0,0.0,0.0,CASH;
Klender,LAPTOP,108475,HP 840 G8 i5 GEN11 16/256GB,Persediaan,6200000.0,0,0.0,0.0,TEMPO;
